cus_ID,cus_first_name,cus_last_name,cus_gender,cus_phone,cus_DOB,cus_email,cus_loyalty_tier,cus_address_line,cus_city,cus_state,cus_postcode,cus_reg_date
1,Jia Yi,Tan,Female,019-7470901,1955-08-12,jia1@gmail.com,Silver,"No. 130, Jalan E1",Kuala Lumpur,Wilayah Persekutuan,55200,2016-03-01
2,Shu Fen,Yeoh,Female,011-1200648,1985-02-27,shu2@gmail.com,Bronze,"No. 131, Jalan G16",Gombak,Wilayah Persekutuan,53000,2016-03-03
3,Anisa,binti Hassan,Female,010-5167644,1959-06-10,anisa3@gmail.com,Bronze,"No. 286, Jalan G13",Kuala Lumpur,Wilayah Persekutuan,50480,2016-03-03
4,Hannah,binti Yusof,Female,014-5374231,1980-12-08,hannah4@gmail.com,Silver,"No. 62, Jalan C6",Kuala Lumpur,Wilayah Persekutuan,58000,2016-03-04
5,Aina,binti Ismail,Female,019-1034701,1989-03-07,aina5@gmail.com,Silver,"No. 188, Jalan G3",Kuala Lumpur,Wilayah Persekutuan,59000,2016-03-04
6,Pei Shan,Khoo,Female,014-7861859,1979-11-18,pei6@gmail.com,Bronze,"No. 65, Jalan B12",Kuala Lumpur,Wilayah Persekutuan,50000,2016-03-04
7,Rachel,Khoo,Female,010-4400505,1992-02-03,rachel7@gmail.com,Bronze,"No. 112, Jalan E16",George Town,Pulau Pinang,10350,2016-03-05
8,Vanessa,Lee,Female,017-8128304,1970-10-13,vanessa8@gmail.com,Bronze,"No. 256, Jalan A5",Bukit Jalil,Wilayah Persekutuan,58200,2016-03-05
9,Siti,binti Osman,Female,012-2889193,1988-08-30,siti9@gmail.com,Gold,"No. 237, Jalan C14",Kuala Lumpur,Wilayah Persekutuan,59000,2016-03-05
10,Balqis,binti Abdullah,Female,015-4682720,1983-08-25,balqis10@gmail.com,Platinum,"No. 3, Jalan E6",Kuala Lumpur,Wilayah Persekutuan,55100,2016-03-06
11,Nurul Huda,binti Hamid,Female,012-3539475,1990-12-24,nurul11@gmail.com,Bronze,"No. 212, Jalan D16",Kuala Lumpur,Wilayah Persekutuan,55100,2016-03-08
12,Anjali,a/p Subramaniam,Female,017-6439549,1993-01-29,anjali12@gmail.com,Silver,"No. 138, Jalan B20",Setapak,Wilayah Persekutuan,53000,2016-03-09
13,Fatimah,binti Ismail,Female,019-7698811,1982-09-16,fatimah13@gmail.com,Silver,"No. 53, Jalan G4",Kuala Lumpur,Wilayah Persekutuan,50000,2016-03-09
14,Nurin,binti Rahman,Female,015-3990695,1993-03-19,nurin14@gmail.com,Bronze,"No. 156, Jalan G11",Kuala Lumpur,Wilayah Persekutuan,50450,2016-03-10
15,Anisa,binti Yusof,Female,018-6804298,1978-07-19,anisa15@gmail.com,Platinum,"No. 180, Jalan E18",Wangsa Maju,Wilayah Persekutuan,53300,2016-03-11
16,Siti,binti Hassan,Female,012-1832967,1967-01-16,siti16@gmail.com,Silver,"No. 232, Jalan C16",Kuala Lumpur,Wilayah Persekutuan,58000,2016-03-12
17,Aiman,bin Ismail,Male,011-6158530,1959-06-23,aiman17@gmail.com,Silver,"No. 213, Jalan F19",Kuala Lumpur,Wilayah Persekutuan,50480,2016-03-13
18,Wan Ying,Yeoh,Female,010-4493370,1978-12-20,wan18@gmail.com,Bronze,"No. 300, Jalan C10",Kuala Lumpur,Wilayah Persekutuan,56000,2016-03-14
19,Nabila,binti Zainal,Female,018-4311461,1988-06-10,nabila19@gmail.com,Bronze,"No. 300, Jalan F12",Kuala Lumpur,Wilayah Persekutuan,57000,2016-03-17
20,Hannah,binti Zainal,Female,015-3948935,1959-01-22,hannah20@gmail.com,Bronze,"No. 213, Jalan G8",Kuala Lumpur,Wilayah Persekutuan,55100,2016-03-19
21,Hannah,binti Yusof,Female,012-1276423,1993-04-04,hannah21@gmail.com,Bronze,"No. 98, Jalan G16",Kuala Lumpur,Wilayah Persekutuan,50000,2016-03-19
22,Jian Ming,Khoo,Male,013-4856782,1963-07-01,jian22@gmail.com,Silver,"No. 170, Jalan G1",Kuala Lumpur,Wilayah Persekutuan,50480,2016-03-20
23,Chloe,Yap,Female,010-5529091,1961-03-03,chloe23@gmail.com,Gold,"No. 113, Jalan D12",Kuala Lumpur,Wilayah Persekutuan,55200,2016-03-20
24,Zarina,binti Hamid,Female,016-7256134,1993-11-21,zarina24@gmail.com,Bronze,"No. 60, Jalan C17",Shah Alam,Selangor,40000,2016-03-20
25,Nur Aina,binti Hassan,Female,014-7316811,1963-10-27,nur25@gmail.com,Gold,"No. 123, Jalan G8",Wangsa Maju,Wilayah Persekutuan,53200,2016-03-21
26,Alia,binti Ahmad,Female,019-3915889,1983-08-07,alia26@gmail.com,Bronze,"No. 262, Jalan E7",Kuala Lumpur,Wilayah Persekutuan,55100,2016-03-21
27,Balqis,binti Osman,Female,015-8338099,1989-05-04,balqis27@gmail.com,Bronze,"No. 34, Jalan G3",Kuala Lumpur,Wilayah Persekutuan,58000,2016-03-22
28,Vikram,a/l Subramaniam,Male,012-1985159,1961-01-11,vikram28@gmail.com,Silver,"No. 278, Jalan B1",Kuala Lumpur,Wilayah Persekutuan,59000,2016-03-23
29,Amelia,binti Osman,Female,019-6596931,1983-05-10,amelia29@gmail.com,Gold,"No. 247, Jalan E3",Melaka,Melaka,75000,2016-03-24
30,Wei Hong,Chan,Male,015-4451654,1967-04-11,wei30@gmail.com,Silver,"No. 20, Jalan C2",Kuala Lumpur,Wilayah Persekutuan,58000,2016-03-25
31,Li Wen,Tan,Female,018-4945200,1957-08-16,li31@gmail.com,Bronze,"No. 47, Jalan F10",Kuala Lumpur,Wilayah Persekutuan,50000,2016-03-26
32,Ling Ling,Teoh,Female,012-2787765,1986-09-10,ling32@gmail.com,Gold,"No. 249, Jalan B2",Kuala Lumpur,Wilayah Persekutuan,50000,2016-03-26
33,Adam,bin Osman,Male,019-5251903,1967-09-29,adam33@gmail.com,Bronze,"No. 277, Jalan D3",Kuala Lumpur,Wilayah Persekutuan,50480,2016-03-26
34,Anisa,binti Ismail,Female,013-7166094,1969-03-24,anisa34@gmail.com,Bronze,"No. 172, Jalan A16",Kuala Lumpur,Wilayah Persekutuan,59000,2016-03-26
35,Kai Xin,Goh,Female,010-9019005,1993-02-13,kai35@gmail.com,Platinum,"No. 250, Jalan F6",Kuala Lumpur,Wilayah Persekutuan,50000,2016-03-28
36,Firdaus,bin Hamid,Male,018-6832328,1996-04-30,firdaus36@gmail.com,Bronze,"No. 54, Jalan D4",Kuala Lumpur,Wilayah Persekutuan,59200,2016-03-31
37,Zarina,binti Razak,Female,014-7559706,1959-11-25,zarina37@gmail.com,Bronze,"No. 224, Jalan C11",Kuala Lumpur,Wilayah Persekutuan,55100,2016-04-01
38,Alia,binti Abdullah,Female,017-3900279,1987-02-13,alia38@gmail.com,Silver,"No. 190, Jalan C11",Kuala Lumpur,Wilayah Persekutuan,59000,2016-04-01
39,Nur Aina,binti Zainal,Female,015-7241541,1975-10-15,nur39@gmail.com,Platinum,"No. 116, Jalan G7",Kuala Lumpur,Wilayah Persekutuan,57000,2016-04-02
40,Fatimah,binti Hamid,Female,017-6393894,1980-11-23,fatimah40@gmail.com,Bronze,"No. 164, Jalan F5",Kuala Lumpur,Wilayah Persekutuan,58000,2016-04-03
41,Siti,binti Abdullah,Female,018-7060364,1964-12-07,siti41@gmail.com,Bronze,"No. 122, Jalan C10",Kuala Lumpur,Wilayah Persekutuan,57000,2016-04-07
42,Shalini,a/p Rajan,Female,017-6621041,1985-01-31,shalini42@gmail.com,Bronze,"No. 35, Jalan C20",Kuala Lumpur,Wilayah Persekutuan,55100,2016-04-09
43,Michelle,Chua,Female,010-3102677,1982-01-05,michelle43@gmail.com,Bronze,"No. 125, Jalan A11",Kuala Lumpur,Wilayah Persekutuan,50000,2016-04-10
44,Rohani,binti Abdullah,Female,017-1702156,1962-02-24,rohani44@gmail.com,Bronze,"No. 93, Jalan B5",Kuala Lumpur,Wilayah Persekutuan,50480,2016-04-10
45,Zhi Wei,Chin,Male,013-5206103,1969-03-29,zhi45@gmail.com,Silver,"No. 11, Jalan C19",Kuala Lumpur,Wilayah Persekutuan,59000,2016-04-10
46,Emily,Lee,Female,011-1268997,1967-03-27,emily46@gmail.com,Bronze,"No. 68, Jalan C8",Kuala Lumpur,Wilayah Persekutuan,59000,2016-04-11
47,Fatimah,binti Ismail,Female,014-7124421,1996-02-02,fatimah47@gmail.com,Bronze,"No. 197, Jalan F7",Kuala Lumpur,Wilayah Persekutuan,59200,2016-04-12
48,Wei Hong,Chong,Male,010-9620285,1987-01-14,wei48@gmail.com,Gold,"No. 4, Jalan A4",Kuala Lumpur,Wilayah Persekutuan,50480,2016-04-16
49,Chloe,Wong,Female,010-5418220,1970-05-25,chloe49@gmail.com,Bronze,"No. 40, Jalan F17",Wangsa Maju,Wilayah Persekutuan,53100,2016-04-17
50,Jian Ming,Goh,Male,017-5036152,1969-04-18,jian50@gmail.com,Bronze,"No. 109, Jalan B19",Bukit Jalil,Wilayah Persekutuan,57000,2016-04-18
51,Yee Ling,Tan,Female,012-4584686,1956-08-07,yee51@gmail.com,Bronze,"No. 4, Jalan C9",Kuala Lumpur,Wilayah Persekutuan,50480,2016-04-18
52,Alia,binti Yusof,Female,017-8921868,1983-07-14,alia52@gmail.com,Bronze,"No. 91, Jalan D6",Kuala Lumpur,Wilayah Persekutuan,58000,2016-04-20
53,Nurin,binti Hamid,Female,011-5095060,1968-04-08,nurin53@gmail.com,Bronze,"No. 171, Jalan D18",Kuala Lumpur,Wilayah Persekutuan,50450,2016-04-21
54,Izzati,binti Razak,Female,015-3936147,1997-04-08,izzati54@gmail.com,Silver,"No. 281, Jalan G6",Bukit Jalil,Wilayah Persekutuan,57000,2016-04-22
55,Siti,binti Hamid,Female,016-3305213,1997-08-06,siti55@gmail.com,Gold,"No. 291, Jalan B13",Kuala Lumpur,Wilayah Persekutuan,50480,2016-04-24
56,Meena,a/p Maniam,Female,019-9798979,1997-04-26,meena56@gmail.com,Bronze,"No. 153, Jalan E7",Wangsa Maju,Wilayah Persekutuan,53100,2016-04-26
57,Deepa,a/p Muniandy,Female,016-6610536,1988-08-08,deepa57@gmail.com,Silver,"No. 292, Jalan F18",Kuala Lumpur,Wilayah Persekutuan,50450,2016-04-27
58,Vanessa,Goh,Female,016-4071831,1986-08-23,vanessa58@gmail.com,Bronze,"No. 160, Jalan E9",Kuala Lumpur,Wilayah Persekutuan,58000,2016-04-28
59,Zulkifli,bin Hassan,Male,017-4387092,1975-12-06,zulkifli59@gmail.com,Bronze,"No. 179, Jalan B6",Kuala Lumpur,Wilayah Persekutuan,50480,2016-04-29
60,Hannah,binti Abdullah,Female,010-3922150,1992-12-18,hannah60@gmail.com,Bronze,"No. 62, Jalan C1",Kuala Lumpur,Wilayah Persekutuan,56000,2016-04-29
61,Meena,a/p Subramaniam,Female,016-7367998,1960-05-04,meena61@gmail.com,Gold,"No. 69, Jalan A1",Bukit Jalil,Wilayah Persekutuan,57100,2016-04-30
62,Rohani,binti Ismail,Female,019-8693687,1970-11-09,rohani62@gmail.com,Gold,"No. 104, Jalan D9",Kuala Lumpur,Wilayah Persekutuan,59000,2016-05-01
63,Haziq,bin Razak,Male,014-6392971,1967-10-20,haziq63@gmail.com,Bronze,"No. 188, Jalan D16",Kuala Lumpur,Wilayah Persekutuan,50000,2016-05-02
64,Sharmila,a/p Muniandy,Female,018-2494747,1988-05-06,sharmila64@gmail.com,Gold,"No. 15, Jalan F1",Selayang,Selangor,68100,2016-05-03
65,Hannah,binti Zainal,Female,010-7206904,1956-06-14,hannah65@gmail.com,Silver,"No. 212, Jalan B14",Gombak,Wilayah Persekutuan,53100,2016-05-05
66,Suhaila,binti Zainal,Female,019-1013988,1967-02-03,suhaila66@gmail.com,Bronze,"No. 166, Jalan C12",Setapak,Wilayah Persekutuan,53000,2016-05-06
67,Nurul Huda,binti Hassan,Female,010-5088438,1984-10-17,nurul67@gmail.com,Bronze,"No. 107, Jalan F12",Kuala Lumpur,Wilayah Persekutuan,56000,2016-05-08
68,Faizal,bin Ismail,Male,014-1452983,1964-08-27,faizal68@gmail.com,Silver,"No. 274, Jalan C13",Kuala Lumpur,Wilayah Persekutuan,50480,2016-05-08
69,Sharmila,a/p Ramasamy,Female,019-3030266,1979-05-13,sharmila69@gmail.com,Gold,"No. 214, Jalan F11",Setapak,Wilayah Persekutuan,53300,2016-05-10
