sal_pay_ID,st_ID,pay_period,base_amt,bonus_amt,deduction_amt,payment_date
1,1,2019-01,4474.38,0.00,492.18,2019-01-25
2,2,2019-01,1483.25,0.00,163.16,2019-01-25
3,3,2019-01,1519.51,0.00,167.15,2019-01-25
4,4,2019-01,2090.60,0.00,229.97,2019-01-25
5,5,2019-01,1960.95,0.00,215.70,2019-01-25
6,6,2019-01,1549.07,0.00,170.40,2019-01-25
7,7,2019-01,2688.20,0.00,295.70,2019-01-25
8,8,2019-01,2298.83,0.00,252.87,2019-01-25
9,9,2019-01,1557.48,0.00,171.32,2019-01-25
10,10,2019-01,1600.76,0.00,176.08,2019-01-25
11,11,2019-01,2715.00,0.00,298.65,2019-01-25
12,12,2019-01,1940.79,0.00,213.49,2019-01-25
13,13,2019-01,3029.85,0.00,333.28,2019-01-25
14,14,2019-01,1879.53,0.00,206.75,2019-01-25
15,15,2019-01,1672.94,0.00,184.02,2019-01-25
16,16,2019-01,1747.95,0.00,192.27,2019-01-25
17,17,2019-01,1576.52,0.00,173.42,2019-01-25
18,18,2019-01,1591.06,0.00,175.02,2019-01-25
19,19,2019-01,1564.05,0.00,172.05,2019-01-25
20,20,2019-01,1509.86,0.00,166.08,2019-01-25
21,28,2019-01,4278.57,0.00,470.64,2019-01-25
22,29,2019-01,1534.48,0.00,168.79,2019-01-25
23,30,2019-01,2627.46,0.00,289.02,2019-01-25
24,31,2019-01,1750.26,0.00,192.53,2019-01-25
25,32,2019-01,2240.85,0.00,246.49,2019-01-25
26,33,2019-01,1713.12,0.00,188.44,2019-01-25
27,34,2019-01,1665.78,0.00,183.24,2019-01-25
28,35,2019-01,1669.65,0.00,183.66,2019-01-25
29,36,2019-01,1970.66,0.00,216.77,2019-01-25
30,37,2019-01,2726.75,0.00,299.94,2019-01-25
31,38,2019-01,1517.19,0.00,166.89,2019-01-25
32,39,2019-01,1747.66,0.00,192.24,2019-01-25
33,40,2019-01,2027.11,0.00,222.98,2019-01-25
34,41,2019-01,1989.40,0.00,218.83,2019-01-25
