cus_ID,cus_first_name,cus_last_name,cus_gender,cus_phone,cus_DOB,cus_email,cus_loyalty_tier,cus_address_line,cus_city,cus_state,cus_postcode,cus_reg_date
32497,Hafiz,bin Abdullah,Male,010-8213465,1979-03-14,hafiz32497@gmail.com,Bronze,"No. 260, Jalan G14",Puchong,Selangor,47190,2025-01-01
32498,Aisyah,binti Ahmad,Female,016-4221810,1979-11-24,aisyah32498@gmail.com,Gold,"No. 6, Jalan D3",Petaling Jaya,Selangor,46300,2025-01-01
32499,Chloe,Tan,Female,018-7244301,1976-11-18,chloe32499@gmail.com,Bronze,"No. 140, Jalan E7",Johor Bahru,Johor,80100,2025-01-01
32500,Nur Aina,binti Razak,Female,011-5662090,1983-02-03,nur32500@gmail.com,Bronze,"No. 1, Jalan C17",Johor Bahru,Johor,80000,2025-01-01
32501,Li Wen,Yap,Female,014-9377221,1984-06-06,li32501@gmail.com,Silver,"No. 228, Jalan E1",Puchong,Selangor,47120,2025-01-01
32502,Izzati,binti Rahman,Female,015-8561096,1994-02-12,izzati32502@gmail.com,Platinum,"No. 161, Jalan C14",Puchong,Selangor,47190,2025-01-01
32503,Zhi Wei,Chua,Male,011-4182624,1969-06-06,zhi32503@gmail.com,Bronze,"No. 287, Jalan G11",Puchong,Selangor,47130,2025-01-01
32504,Wei Jie,Chua,Male,016-1133910,1980-03-03,wei32504@gmail.com,Bronze,"No. 173, Jalan D2",Setapak,Wilayah Persekutuan,53200,2025-01-01
32505,Vanessa,Loh,Female,016-6019865,1993-07-11,vanessa32505@gmail.com,Platinum,"No. 292, Jalan G18",Wangsa Maju,Wilayah Persekutuan,53300,2025-01-01
32506,Hannah,binti Ahmad,Female,012-1280126,2000-10-31,hannah32506@gmail.com,Bronze,"No. 16, Jalan C9",Petaling Jaya,Selangor,46050,2025-01-01
32507,Syafiq,bin Rahman,Male,013-2069345,1988-12-29,syafiq32507@gmail.com,Silver,"No. 81, Jalan E13",Kuantan,Pahang,25150,2025-01-01
32508,Aina,binti Razak,Female,012-5937599,1967-06-05,aina32508@gmail.com,Bronze,"No. 139, Jalan B18",Wangsa Maju,Wilayah Persekutuan,53100,2025-01-01
32509,Rajesh,a/l Rajan,Male,012-5451281,1971-09-20,rajesh32509@gmail.com,Silver,"No. 297, Jalan A3",Seremban,Negeri Sembilan,70450,2025-01-01
